this is just a sample data (lines 1 and 2 are skipped from SpringBatchConfig telcoItemReader method configuration)
id,mobile_prefix,telco,plan_type
1,9259999,01,PREPAID
2,9259999,02,PREPAID
3,90599,03,PREPAID
4,996,04,PREPAID
5,896,05,PLN_REINN2
6,-4610664.9,6,PREPAID
7,-7388385.8,7,PREPAID
8,-10166106.7,8,PREPAID
9,-12943827.6,9,PREPAID
10,-15721548.5,10,PLN_REINN3
11,-18499269.4,11,PREPAID
12,-21276990.3,12,PREPAID
13,-24054711.2,13,PREPAID
14,-26832432.1,14,PREPAID
15,-29610153,15,PLN_REINN4
16,-32387873.9,16,PREPAID
17,-35165594.8,17,PREPAID
18,-37943315.7,18,PREPAID
19,-40721036.6,19,PREPAID
20,-43498757.5,20,PREPAID
21,-46276478.4,21,PLN_REINN3
22,-49054199.3,22,PREPAID
23,-51831920.2,23,PREPAID
24,-54609641.1,24,PREPAID
25,-57387362,25,PREPAID
26,-60165082.9,26,PLN_REINN4
27,-62942803.8,27,PREPAID
28,-65720524.7,28,PREPAID
29,-68498245.6,29,PREPAID
30,-71275966.5,30,PREPAID
31,-74053687.4,31,PLN_REINN5
32,-76831408.3,32,PREPAID
33,-79609129.2,33,PREPAID
34,-82386850.1,34,PREPAID
35,-85164571,35,PREPAID
36,-87942291.9,36,PREPAID
37,-90720012.8,37,PLN_REINN4
38,-93497733.7,38,PREPAID
39,-96275454.6,39,PREPAID
40,-99053175.5,40,PREPAID
41,-101830896.4,41,PREPAID
42,-104608617.3,42,PLN_REINN5
43,-107386338.2,43,PREPAID
44,-110164059.1,44,PREPAID
45,-112941780,45,PREPAID
46,-115719500.9,46,PREPAID
47,-118497221.8,47,PLN_REINN6
48,-121274942.7,48,PREPAID
49,-124052663.6,49,PREPAID
50,-126830384.5,50,PREPAID
51,-129608105.4,51,PREPAID
52,-132385826.3,52,PREPAID
53,-135163547.2,53,PLN_REINN5
54,-137941268.1,54,PREPAID
55,-140718989,55,PREPAID
56,-143496709.9,56,PREPAID
57,-146274430.8,57,PREPAID
58,-149052151.7,58,PLN_REINN6
59,-151829872.6,59,PREPAID
60,-154607593.5,60,PREPAID
61,-157385314.4,61,PREPAID
62,-160163035.3,62,PREPAID
63,-162940756.2,63,PLN_REINN7
64,-165718477.1,64,PREPAID
65,-168496198,65,PREPAID
66,-171273918.9,66,PREPAID
67,-174051639.8,67,PREPAID
68,-176829360.7,68,PREPAID
69,-179607081.6,69,PLN_REINN6
70,-182384802.5,70,PREPAID
71,-185162523.4,71,PREPAID
72,-187940244.3,72,PREPAID
73,-190717965.2,73,PREPAID
74,-193495686.1,74,PLN_REINN7
75,-196273407,75,PREPAID
76,-199051127.9,76,PREPAID
77,-201828848.8,77,PREPAID
78,-204606569.7,78,PREPAID
